code_pro,wilaya,field,activity,description,processed_activity,processed_description,fuzzy_matched_official
4X3UDRZ6,Algiers,"Conseil, Expertise et formation",Cake désigner/ Pâtissière,Cake design/ Gâteaux traditionnels/gâteau d anniversaire/formatrice professionnels cake design et pâtisserie,cak designer patissiere,cak design gateal traditionnelsgateau anniversaireformatric professionnel cake design patisserie,
TVH73LEP,Oran,Services à la personne,Impression 3d,Imrimer des piece en 3d,impression,imrimer piece,
PY4TDP73,Oran,Services à la personne,Instalation des panneaux solaires,Instalation des panneaux solaires dans les maisons,instalation panneal solaire,instalation panneal solaire maison,
YGSSA568,Bouira,"Conseil, Expertise et formation",Formateur dans le domaine pharmaceutique,Formations pour les etudiants de pharmacie,formateur domaine pharmaceutique,formation etudiant pharmacie,
LYLXSWKY,Boumerdes,"Conseil, Expertise et formation",Architecte d'intérieur / architecte en aménagement d'intérieur /designer d'intérieur,"Domaine d'activité qui consiste en la conception et l'aménagement des espaces intérieurs privatifs ou professionnels ( appartement, bureaux, locaux commerciaux...etc ) cela en 3D, 2D ( plans ) et croquis.",architecte dinterieur architecte amenagemer dinterieur designer dinterieur,domaine dactivit consister conception lamenagemer espace interieur privatif professionnel appartemer bureal local commerciauxetc celer plan croqui,
RPGKHURC,Ghardaia,Prestations à domicile,PLOMPERIE,travaux des plomprie et stalation chodier et cuiver,plomperie,travail plompri stalation chodier cuiver,
SLZQ1FRN,Batna,Services à la personne,documents pédagogiques,"confectionner des documents utiles au profit des enseignants tel que des fiches pédagogiques, des cahiers d'activités, des cahiers journaux,..etc",document pedagogique,confectionner document utile profit enseignant tel fiche pedagogique cahier dactivite cahier journauxetc,
V3CU9E19,Biskra,Services à la personne,Pièces Auto et maintenance,"Installation de plaques de frein_x000D_
Et les amortisseurs_x000D_
Et les roues sont parallèles_x000D_
Et système de suspension",piece auto maintenanc,installation plaque frein_xd _ amortisseurs_xd _ roue paralleles_xd _ systeme suspension,
LUG2KYLK,Algiers,"Conseil, Expertise et formation",conseil en gestion du crédit et du risque,Compilation des rapports  gestion du crédit et du risque sur l'état d'un organisation .,conseil gestion credit risqu,compilation rapport gestion credit risque letat dun organisation,
SZTBRTN7,Aïn Defla,Services numériques et activités connexes,Testeur logiciel (QA),"Le testeur logiciel est un professionnel de l'informatique qui réalise des tests et vérifications sur divers logiciels, afin de s'assurer qu'ils sont fonctionnels",testeur logiciel qa,testeur logiciel professionnel linformatiqu realise test verification divers logiciel afin sassurer quil fonctionnel,
2GALDWRF,Mostaganem,"Conseil, Expertise et formation",Consultant en ressources humaines,"Formation aux ressources humaines_x000D_
Recrutement_x000D_
Ingénierie de l'accompagnement_x000D_
Développement des ressources humaines_x000D_
Processus de recrutement et d'intégration du personnel_x000D_
Elaboration et suivi des compétences du personnel_x000D_
gestion des emplois et carrières_x000D_
mise en place et suivi des indicateurs de ressources humaines",consulter ressource humain,formation ressource humaines_xd _ recrutement_xd _ ingenierie laccompagnement_xd _ developpement ressource humaines_xd _ processus recrutement dintegration personnel_xd _ elaboration suivre competencer personnel_xd _ gestion emploi carrieres_xd _ mise place suivre indicateur ressource humain,
8NME7633,Algiers,Services aux entreprises,construction métallique,"Tout type de soudure , Charpenterie",construction metalliqu,tout type soudur charpenterie,
XBZR15Q7,Tizi Ouzou,Services de loisirs et de récréation,Location saisonnière,J'aimerais investir dans les mobilier pour pouvoir développer le tourisme dans le pays,location saisonnier,jaimerai investir mobilier pouvoir developper tourisme pays,
3K13ARSC,Tlemcen,Services à la personne,Construction rideaux électrique  métallique.,Construction  rideaux électriques  métalliques,construction rideal electriqu metalliqu,construction rideal electrique metallique,
SB9A84DN,Algiers,Services aux entreprises,) Recherche tous types  de  câbles électrique coupes ou endommage  sous terre .   2) Installation et pose de candélabres .,"1) Recherche tous types  de  câbles électrique coupes ou endommage  sous terre .  _x000D_
2) Installation et pose de candélabres .",recherche tout type cable electriqu coupe endommag sou terre installation pose candelabre,recherche tout type cable electriqu coupe endommag sou terre _ xd _ installation pose candelabre,
8U3SGX93,Bejaia,"Conseil, Expertise et formation",audit et formation,"Auditeur qualité_x000D_
auditeur en organisation _x000D_
accompagnement _x000D_
coaching et formation",audit formation,auditeur qualite_xd _ auditeur organisation _ xd _ accompagnement _ xd _ coaching formation,
AFTZT4RS,Algiers,,Aluminium,Fabrication  menuiserie  aluminium,aluminium,fabrication menuiseri aluminium,
PRSA87GZ,Batna,Services numériques et activités connexes,Livreur moto scouter,Livreur moto scouter,livreur moto scouter,livreur moto scouter,
8M3C9F6P,Batna,Services aux entreprises,Conducteur d'engins,Conducteur engins pour les travaux publics,conducteur dengin,conducteur engin traval public,
8RUF5BAK,Bouira,Services numériques et activités connexes,E-commerce,"Vente en ligne _x000D_
Vêtements, accessoires, équipements cuisine, équipements maison, beauté,",ecommerce,vente ligne _ xd _ vetement accessoire equipement cuisine equipements maison beaut,
8312QDYB,Tizi Ouzou,Services aux entreprises,"Conseil en comptabilité, audit et finance","Accompagné les entreprises et les orienté dans leurs fonctionnement, leurs développement et leurs financement",conseil comptabilite audit finance,accompagn entreprise orient leur fonctionnemer leur developpemer leur financement,
C5MNWE2S,Algiers,Services aux entreprises,) Recherche et réparation tous type de  câble électrique coupe ou endommage sous terre. 2) branchement et tirage de câble électrique sous terre. Recherche et réparation tous type de  câble électrique coupe ou endommage,"1) Recherche et réparation tous type de  câble électrique coupe ou endommage sous terre._x000D_
2) branchement et tirage de câble électrique sous terre.",recherche reparation tout type cabl electriqu coup endommag sou terre branchemer tirage cabl electriqu sou terre recherche reparation tout type cabl electriqu coup endommag,recherche reparation tout type cabl electriqu coup endommag sou terre_xd _ branchement tirage cabl electriqu sou terre,
QMMRGCSF,Algiers,Services aux entreprises,distributeur automatique des boissons chaudes,Les entreprises peuvent bénéficier de distributeurs automatiques de boissons chaudes grâce à cette prestation.,distributeur automatique boisson chaud,entreprise pouvoir beneficier distributeur automatique boisson chaud grace avoir ce prestation,
7NX3MNKP,Chlef,Services numériques et activités connexes,Business developer,Prospection et ciblage digital pour faire accroître un produit et/ou une entreprise moyennant une commission sur la mise en relation et/ou la vente et/ ou l'image d'un produit et/ou d'une entreprise.,business developer,prospection ciblag digital faire accroitre produit etou entreprise moyenner commission mettre relation etou vente limage dun produit etou dune entreprise,
8TBEVQKV,Constantine,Services aux entreprises,prestation de service aux entreprises industriels,"prestation de service entreprises industriel _x000D_
intervention sur les équipements industriel et installations cryogénique fluides médicaux",prestation service entreprise industriel,prestation service entrepris industriel _ xd _ intervention equipement industriel installation cryogeniqu fluide medical,
RLCWK8N5,Algiers,,domaine apicole,vente en ligne des produits apicole,domaine apicole,vente ligne produit apicole,
Q9BPN823,Blida,"Conseil, Expertise et formation",Consultant Database Administrator,"Un consultant DBA (Administrateur de Base de Données) est un expert audacieux en gestion des bases de données. Il relève les défis de l’optimisation, de la maintenance et de la sécurisation des systèmes de gestion de données. Les entreprises comptent sur lui pour garantir que leurs données sont efficacement stockées, accessibles et protégées.",consulter database administrator,consulter dba administrateur bas donneer expert audacieux gestion base donnee relev defis loptimisation maintenance securisation systeme gestion donnee entreprise compter garantir leur donnee efficacement stockee accessible protegee,
L16FH4FW,Algiers,"Conseil, Expertise et formation",Formation en Route to Market FMCG,"Cette formation concerne l'organisation commerciale, Model de distribution et Formation des équipes pour le secteur FMCG",formation rout to market fmcg,ce formation concerner lorganisation commercial model distribution formation equipe secteur fmcg,
ME64593K,Algiers,Prestations à domicile,société de nettoyage,SOCIETE DE NETTOYAGE,societe nettoyag,societe nettoyag,
C39KS71B,Tizi Ouzou,Services aux entreprises,Conseil et installation,"Conseil en aménagement, agencement et rénovation des espaces domestiques et commerciaux",conseil installation,conseil amenagemer agencement renovation espace domestique commercial,
LY29ZUNL,Algiers,,Réalisation des vidéos clip des vidéos publicitaires,Je propose des services de public Video,realisation video clip video publicitaire,proposer service public video,
A2QCHQ5X,Oran,Services à la personne,Location de voitures,Location de voitures avec ou sans chauffeur,location voiture,location voiture sans chauffeur,
E6G7TUTX,Blida,Services aux entreprises,Marketing,Seizing marketing opportunities by distributing goods east-west-north-south,marketing,seizing marketing opportunitie by distributing goods eastwestnorthsouth,
KRZWLW91,Algiers,Prestations à domicile,Plomberie sanitaire et chauffage,Plomberie générale,plomberie sanitaire chauffage,plomberie general,
PU22G9KL,Oran,"Conseil, Expertise et formation",Expert immobilier,"Accompagné les clients à la réception de leurs achats immobilier (dans le neuf), vérifier le respect des normes de construction, ainsi que de la conformité. Accompagné également les clients afin de faire des bilan avant et après achat d'un bien immobilier, intervenir également dans le diagnostique des pathologies du bâtiment.",expert immobilier,accompagn client avoir reception leur achat immobilier neuf verifier respect norme construction ainsi conformite accompagn egalement client afin faire bilan avant apre achat dun bien immobilier intervenir egalement diagnostique pathologie batiment,
4RDUD8NR,Algiers,Prestations à domicile,Plomberie sanitaire et chauffage,Entretien des appareils à gaz et tout ce qui concerne la plomberie,plomberie sanitaire chauffage,entretien appareil avoir gaz tout concerner plomberie,
Y7GLNV2F,Oran,Services aux entreprises,Installation de verre et d'inox,"Pose de façades vitrées pour magasins _x000D_
Montage les pompes d'escalier en inox",installation verre dinox,pose facade vitree magasin _ xd _ montage pompe descalier inox,
44NLKHY9,Algiers,Prestations à domicile,Nettoyage et maintenance de Piscine,"Mise en service de piscine _x000D_
Nettoyage haute pression _x000D_
Analyses de l'eau",nettoyage maintenanc piscin,mise service piscin _ xd _ nettoyage haute pression _ xd _ analyser leau,
W8BZLQ2A,Boumerdes,Services à la personne,Location matériel,Location matériel,location materiel,location materiel,
FWMMSBR8,Algiers,"Conseil, Expertise et formation",Apiculteur,"Production d'abeilles, reines, gelée roayale, pollen...",apiculteur,production dabeille reine gele roayal pollen,
9UNTXNY7,Algiers,"Conseil, Expertise et formation",Formateur en gestion de projets agiles,"La gestion de projet agile est une nouvelle méthode de gestion de projets, utilisée notamment dans les projets informatiques, innovants, créatifs, complexes et imprévisibles. Ces méthodes appelées Framework apportent souplesse et performance. Elles sont centrées sur l'humain, la communication et permettent aux clients de participer au développement du produit tout au long de l'avancement du projet.",formateur gestion projet agile,gestion projet agile nouveau methode gestion projet utilisee notamment projet informatique innovant creatif complexe imprevisible methode appelee framework apporter souplesse performance lui centree lhumain communication permettre client participer developpement produire tout long lavancement projet,
WXRF62HW,Algiers,"Conseil, Expertise et formation",Coach agile,"Le coach agile, est un expert dans le domaine de la gestion de projet agile. Il est formateur, facilitateur, mentor. C’est un agent du changement, il accompagne la transformation agile des entreprises, à la fois sur le plan organisationnel, managérial et humain.",coach agile,coach agile expert domaine gestion projet agile formateur facilitateur mentor cest agent changement accompagn transformation agile entreprise avoir fois plan organisationnel managerial humain,
YPR1RWDG,Algiers,"Conseil, Expertise et formation","Cybersécurité  | Gouvernance, risques et conformité","La gouvernance, le risque et la conformité (GRC) offrent aux entreprises la confiance et les outils dont elles ont besoin pour exercer leurs activités sans dépasser les limites réglementaires. Trop d’entreprises manquent de programmes GRC bien définis ou ont tendance à négliger leur financement. Pour réussir, les entreprises doivent améliorer leur résilience et se préparer aux interruptions de service afin de rester pertinentes et de générer de la valeur._x000D_
_x000D_
Le dossier métier de la GRC doit se concentrer sur l’amélioration de la visibilité des risques, l’alignement des initiatives de GRC sur les priorités business et la délivrance d’informations prospectives pour aider les entreprises à agir rapidement et résolument._x000D_
_x000D_
_x000D_
_x000D_
Gouvernance : cadres des activités d’une entreprise qui sont alignées ou non sur les objectifs business. Les activités comprennent les processus, structures et politiques destinés à gérer et surveiller les activités de l’entreprise._x000D_
_x000D_
Risque : processus soutenu de gestion des risques, d’atténuation des risques par le biais de contrôles, et d’assurance que les risques sont gérés conformément aux politiques. Cela inclut la mesure du risque, l’évaluation, la conservation, la surveillance et l’identification._x000D_
_x000D_
Conformité : s’assurer que les activités au sein d’une entreprise sont exercées conformément aux lois et réglementations.",cybersecurite gouvernance risque conformite,gouvernance risque conformite grc offrir entreprise confiance outil dont lui besoin exercer leur activite sans depasser limite reglementaire trop dentreprise manquer programme grc bien definis tendance avoir negliger financement reussir entreprise devoir ameliorer resilience preparer interruption service afin rester pertinent generer valeur_xd _ _ xd _ dossier metier grc devoir concentrer lamelioration visibilit risque lalignement initiative grc priorite business delivrance dinformation prospectif aider entreprise avoir agir rapidement resolument_xd _ _ xd _ _ xd _ _ xd _ gouvernance cadre activite dune entreprise alignee non objectif business activite comprendre processu structure politique destine avoir gerer surveiller activite lentreprise_xd _ _ xd _ risque processu soutenir gestion risque dattenuation risque biais controle dassurance risque gere conformement politique celer inclure mesure risque levaluation conservation surveillance lidentification_xd _ _ xd _ conformite sassurer activite sein dun entreprise exercee conformement loi reglementation,
D5N7ZTB4,Annaba,"Conseil, Expertise et formation",Conseil en ingénierie,"Bonjour ,_x000D_
J'aimerais créer une entreprise de conseil en ingénierie principalement orienté BTP.",conseil ingenieri,bonjour _ xd _ jaimerai creer entreprise conseil ingenierie principalement orient btp,
TMWKZ79S,Chlef,Services à la personne,Réparation des cartes électroniques,"Réparation des Cartes électroniques ascenseur_x000D_
 Carte télévision _x000D_
 Carte électronique électroménager (Climatiseur, réfrigérateur, machine à laver ...)_x000D_
Trottinette électrique",reparation carte electronique,reparation carte electronique ascenseur_xd _ carte television _ xd _ carte electroniqu electromenager climatiseur refrigerateur machine avoir laver _ xd _ trottinett electriqu,
7K6DV8HQ,El Meniaa,Services aux entreprises,Corrosion Expert,Monitoring of corrosion problems in industrial plants,corrosion expert,monitoring of corrosion problem in industrial plant,
L2PN55A6,Aïn Temouchent,Services numériques et activités connexes,Installation du matériel de sécurité,"installation camera surveillance, alarme, interphone, visiophone et equipement sensible",installation materiel securite,installation camer surveillance alarm interphone visiophon equipement sensible,
KBQUH1YW,Algiers,Prestations à domicile,Préparation des coussins décoratif,Préparation des coussins décoratif pour décorer les fauteuils,preparation coussin decoratif,preparation coussin decoratif decorer fauteuil,
UML9A34Y,Algiers,Prestations à domicile,Gâteaux et salées,"Fabrication Gâteaux orientaux, tartelettes et amuse gueule mini pizza , manchos quiches et pain traditionnel",gateal saleer,fabrication gateal oriental tartelette amuser gueul mini pizza mancho quiche pain traditionnel,
1BUL5SUP,Annaba,Services à la personne,Architecte d'intérieur,Refaire des maison et décoration d'intérieur,architecte dinterieur,refaire maison decoration dinterieur,
CK5HAKAQ,Algiers,Services à la personne,Livreur,Livraison à domicile,livreur,livraison avoir domicil,
DZRL14UK,Algiers,Services aux entreprises,Secrétariat et administration,Secrétaire et assistante administrative,secretariat administration,secretair assistant administratif,
YRE427L6,Tipaza,Services à la personne,Electricien,Électricien,electricien,electricien,
UTK4BW7H,Tlemcen,Services de loisirs et de récréation,Habillement d vfete et réception personnalisé,Accompagnement vestimentaire de fête et réception et conseil en image personnalisé,habillemer vfet reception personnalis,accompagnement vestimentaire fet reception conseil image personnalis,
XNGZ2NNW,Annaba,Services à la personne,Architecte d'intérieur,"un professionnel créatif , conçoit, planifie et aménage des espaces intérieurs pour les rendre à la fois esthétiques, fonctionnels et sécuritaires. Ce spécialiste comprendre les besoins spécifiques de ses clients tout en respectant les contraintes techniques et budgétaires. Se sélection des couleurs, des matériaux, des meubles et des éclairages, ainsi que l'agencement des espaces. L'architecte travaille en collaboration avec des  des artisans pour transformer un espace vide ou existant en un lieu optimisé selon les souhaits et les besoins de l'utilisateur. maîtrise des logiciels de dessin assisté par ordinateur (DAO) et lconnaissance des normes en vigueur.",architecte dinterieur,professionnel creatif concoit planifier amenage espace interieur rendre avoir fois esthetique fonctionnel securitaire specialiste comprendre besoin specifique client tout respecter contraindre technique budgetaire selection couleur material meuble eclairage ainsi lagencement espace larchitect travailler collaboration artisan transformer espace vide exister lieu optimiser selon souhait besoin lutilisateur maitrise logiciel dessin assister ordinateur dao lconnaissance norme vigueur,
ZKG8L3U1,Ghardaia,"Conseil, Expertise et formation",Formateur Consultant HSE,"Préparation des supports des formations/présentations HSE (identification des dangers, manutention manuelle, opération de levage, l’isolation de l’énergie utilisations des extincteurs, MEDVAC, espace confiné, risque électrique, PTW, travaux d’excavation, JSA, manipulation des produits chimiques, Travail en hauteur et PII et autres.",formateur consulter hs,preparation support formationspresentation hse identification danger manutention manuel operation levage lisolation lenergie utilisation extincteur medvac espace confine risque electriqu ptw traval dexcavation jsa manipulation produire chimique travail hauteur pii autre,
DEYZAHEB,Setif,Services à la personne,Propagande et publicité,"Fabrication de lettres optiques et non lumineuses, recouvrant les façades des habitations et des petites et grandes institutions, et décorant l'intérieur et l'extérieur",propagand publicite,fabrication lettre optique non lumineuse recouvrir facade habitation petit grand institution decorer linterieur lexterieur,
ZTHFACN6,Algiers,,conseilles vétérinaires,c pouvoirs conseiller toutes personne qui a animal domestique sur la maniérés d élever de nourrie de soigner ce dernier pour éviter tous désagrément causer par l absence de connaissance .comme par exemple la nécessite de vacciner les animaux ou que faire dans une situation d urgence,conseille veterinaire,pouvoir conseiller tout personne avoir animal domestique maniere elever nourrie soigner dernier eviter tout desagrement causer absence connaissance comme exemple necessite vacciner animal faire situation urgenc,
9Q85KUP5,,Prestations à domicile,préparation de gateaux et de pains tout type,"préparation des petits gâteaux (cake, madeleines, flans et autres) et pains (traditionnel et autres)",preparation gateal pain tout type,preparation petit gateau cak madeleine flan autre pain traditionnel autre,
RSWR4X6V,Constantine,Services aux entreprises,Traitement de façade aluminium et verre,Technicien de montage.mur rideau et alucobond,traitement facad aluminium verre,technicien montagemur rideau alucobond,
K3CUA2B1,Oran,"Conseil, Expertise et formation",Prestation de services en immobilier,"- conseil et accompagnement du développement des agences immobilières _x000D_
- Formation des métiers de l’immobilier_x000D_
- Formation des logiciels_x000D_
- externalisation de la comptabilité _x000D_
- préparation des comptes_x000D_
- reprise des éléments comptables",prestation service immobilier,conseil accompagnemer developpement agence immobiliere _ xd _ formation metier limmobilier_xd _ formation logiciels_xd _ externalisation comptabilit _ xd _ preparation comptes_xd _ reprise element comptable,
4UNHNER6,Tizi Ouzou,Services à la personne,Chef de rang ( serveur),Chef de rang hôtellerie,chef rang serveur,chef rang hotellerie,
UWTTRGTQ,Skikda,Services aux entreprises,installation des  solutions Standard téléphonique pour entreprise,installation et mise en service  des système  Standard Téléphonique pour le secteur publique,installation solution standard telephonique entreprendre,installation mise service systeme standard telephonique secteur public,
E8WD55ZZ,Algiers,Prestations à domicile,Plombier,Plombier chauffagiste,plombier,plombier chauffagist,
2837E5FQ,Algiers,Services aux entreprises,Menuiserie en aluminium et PVC,"Fabrication des porte et fenêtre en aluminium,verres et PVC",menuiserie aluminium pvc,fabrication porte fenetre aluminiumverrer pvc,
236NDX5T,Msila,Services numériques et activités connexes,Chef(fe) de projet en intelligence artificielle,"Le chef de projet en intelligence artificielle est celui qui met en relation le client et les équipes techniques qui sont en charge de réaliser le projet. Véritable chef d’orchestre, il anticipe, planifie et organise les différentes étapes du projets (actions), tout cela dans le respect du cahier des charges, des délais et du budget du client.",cheffe projet intelligence artificiel,chef projet intelligence artificiel celui mettre relation client equipe technique charge realiser projet veritabl chef dorchestr anticipe planifier organise differentes etape projet action tout celer respect cahier charge delai budget client,
FSZ3H46U,Tizi Ouzou,Services aux entreprises,Ingénieur réseau Electrique,"installation toute gamme de groupe électrogène ,installation de panneaux solaire,onduleur,batteries stationnaire,coffrets alternatif 380V.....etc",ingenieur reseau electriqu,installation tout gamme groupe electrogene installation panneal solaireonduleurbatterie stationnairecoffret alternatif vetc,
LBD5YR5A,Boumerdes,Services aux entreprises,Vente en détails des réactifs et consommables du laboratoire d’analyses médicales,Vente en détails des réactifs et consommables du laboratoire d’analyses médicales,vente detail reactif consommable laboratoire danalyse medicale,vente detail reactif consommable laboratoire danalyse medicale,
Y7GZAHYM,Algiers,"Conseil, Expertise et formation",Ingénieur en contrôles électriques,"-Conseil et réalisation des contrôles électriques HT et BT pour les clients industriels, dans le cadre réglementaire ou de maintenance (Groupes de production, transformateurs de puissance, appareils de protection ...)_x000D_
-Offrir une expertise au clients industriels et aux compagnies d'assurance, lors des incidents et sinistres électriques HT et BT_x000D_
-Contrôles des protection électriques, _x000D_
-Formation de techniciens et cadres, sur la sécurité électriques, les matériels  de test spécifiques, les normes nationales et internationales ,",ingenieur controle electrique,conseil realisation controle electrique ht bt client industriel cadre reglementair maintenance groupe production transformateur puissance appareil protection _ xd _ offrir expertise client industriel compagnie dassuranc lors incident sinistre electrique ht bt_xd _ controle protection electrique _ xd _ formation technicien cadre securit electrique materiel test specifique norme national international,
UYKHRFAD,Bejaia,Services aux entreprises,Génie civil et travaux publics,Construction aménagement et réaménagement,genie civil traval public,construction amenagement reamenagement,
XMCND92Z,Tizi Ouzou,Services à la personne,Confection de vêtements,"Confection, retouche et ajustements de vêtements...",confection vetement,confection retouch ajustement vetement,
YUE3YZ1R,Algiers,Services numériques et activités connexes,Co-HÔTE AIRBNB,d'une personne embauchée par l'hôte pour l'aider à gérer son annonce ou son logement.,cohote airbnb,dune personne embauchee lhote laider avoir gerer annonce logement,
SNLVPL5Z,Algiers,Services aux entreprises,"Bureautique, matériel informatique",Général mobilier informatique,bureautique materiel informatique,general mobilier informatique,
Y47FKL1B,Setif,Services aux entreprises,Menuiserie aluminium revêtement des façade,Revêtement des façade en alucoband,menuiserie aluminium revetemer facade,revetemer facad alucoband,
BC59CAKY,Constantine,Services aux entreprises,Organisé des Salon professionnel,Proposé et organisé des salon dédié aux professionnels.,organise salon professionnel,proposer organis salon dedie professionnel,
W9VWT5GG,Algiers,,producteur d'aliments pour animaux d'élevage et de compagnie,granuler diverses ressources en croquettes en granulés ou même broyer pour en faire des pâtes destiné a l'alimentation animale,producteur daliment animal delevage compagni,granuler divers ressource croquette granule meme broyer faire pate destine avoir lalimentation animal,
YXPK9ZPM,Oum El Bouaghi,Services aux entreprises,Soudeur tig inox et aluminium,"Soudage et réparation les pièces fissure ou casse. Montage tuyauterie carbo ,duplex, inox des  usines. Soudage aluminium.",soudeur tig inox aluminium,soudage reparation piece fissur casse montag tuyauteri carbo duplex inox usine soudage aluminium,
FQMP6EDP,Bejaia,Services numériques et activités connexes,ecrivain public,services aux public,ecrivain public,service public,
VRCLXNB8,Algiers,"Conseil, Expertise et formation",Consultant en management des entreprises,"Consulting en management des entreprises : RH, Techniques de vente, Organisation interne de l'entreprise, Leadership, Marketing, Stratégie de l'entreprise.",consulter management entreprise,consulting management entreprise rh technique vente organisation interne lentreprise leadership marketing strategie lentrepris,
KSL3NGLV,Tizi Ouzou,"Conseil, Expertise et formation",Formation secourisme,"Former le large public le premier secours avec un simple geste on peut sauver une vie _x000D_
La durée de la Formation et entr 14h a 21h_x000D_
Avec mes remerciements, je vous prie d'agréer l'expression de mes sentiments respectueux",formation secourisme,former large public premier secours simple geste pouvoir sauver vie _ xd _ duree formation entr heure avoir h_xd _ remerciement prie dagreer lexpression sentiment respectueux,
4NGW7QS2,Algiers,Services numériques et activités connexes,Dessine infographie,Dessine,dessin infographie,dessine,
8PRLUQMW,Algiers,,"Communication d’entreprises, publicité","Communication d’entreprise, production de vidéos promotionnelles",communication dentreprise publicite,communication dentrepris production video promotionnelle,
NLTQVFL4,Algiers,,Production de vidéos promotionnelles,Communication d’entreprises,production video promotionnelle,communication dentreprise,
6QDUSST8,Tiaret,"Conseil, Expertise et formation",conseil fiscal,assistance et accompagnement juridique auprès de l'administration fiscale.,conseil fiscal,assistance accompagnemer juridique aupre ladministration fiscal,
2LUDPQLM,Oran,Services numériques et activités connexes,Webdesign et Infographie,"Creation de site web professionnel et E-boutique , création de contenu digital , conception de logo , flyer et brochure graphique ainsi que la formation en webdesign ._x000D_
site web : webeely.com",webdesign infographie,creation sit web professionnel eboutique creation contenu digital conception logo flyer brochure graphique ainsi formation webdesign _ xd _ site web webeelycom,
RQ7NCR36,Algiers,"Conseil, Expertise et formation",Consultant Formateur Supply Chain Management,"achats - logistique - import/export - production et autres _x000D_
svp de m'informé si possible de créer cette activité si non je vais créer une activité consultant en management.",consulter formateur supply chain management,achat logistique importexport production autre _ xd _ svp minforme si possible creer ce activite si non aller creer activite consulter management,
YLMCQF9M,Algiers,Services à la personne,Salon de coiffure,"Salon de coiffure pour femme ;_x000D_
Les soins et colorations capillaires prennent en général toute une demi-journée donc le salon proposera des salés et ou  gâteaux en cas de petite faim ainsi que différentes boissons pour une pleine satisfaction !",salon coiffur,salon coiffure femme _ xd _ soin coloration capillaire prendre general tout demijournee donc salon proposer sale gateal cas petit faim ainsi differentes boisson pleine satisfaction,
QHTPPKQA,Boumerdes,Services de loisirs et de récréation,Design/décoration,Conception d’aménagement et création de mobilier,designdecoration,conception damenagemer creation mobilier,
AB8AFBV2,Boumerdes,Services de loisirs et de récréation,Creation,Création d’objets divers / habillement / livres / jeux,creation,creation dobjet divers habillement livre jeu,
RP2TK3QS,Mila,Services aux entreprises,Electricité,Préparation du cable  hta,electricite,preparation cabl hta,
VHLBBEEH,Oran,Services numériques et activités connexes,Chauffeur vtc,Chauffeur vtc,chauffeur vtc,chauffeur vtc,
66TQU6ND,Oran,,Organisateur/agitateur/art plastique et créatif,Organiser et animer atelier et réalisation d’œuvre d’art collectif dans secteur économique/ touristique écologique/collectivité /,organisateuragitateurart plastique creatif,organiser animer atelier realisation doeuvre dart collectif secteur economiqu touristique ecologiquecollectivit,
AVVCM9L5,Oran,Prestations à domicile,Ameublement + electromenager,Vente et installation d'ameublement et électroménager avec facilité de payement,ameublement electromenager,vent installation dameublemer electromenager facilit payement,
TTTRLAL4,Algiers,"Conseil, Expertise et formation",Consultant et formateur,"Consultant, services et formation  pour entreprise",consulter formateur,consulter service formation entreprendre,
NBMP87RX,Batna,"Conseil, Expertise et formation",Concepteur de documents pédagogiques,"Je suis enseignante principale, j'ai 18 ans d'expérience dans le domaine et je propose des documents pédagogiques à vendre aux enseignants en vue de les aider dans leur travail. _x000D_
L'activité que je propose consiste à vendre des fiches pédagogiques dont les enseignants du collège ont besoin pour bien présenter leurs leçons.",concepteur document pedagogique,enseignant principal jai an dexperience domaine proposer document pedagogique avoir vendre enseignant vue aider travail _ xd _ lactivite proposer consister avoir vendre fiche pedagogique dont enseignant college besoin bien presenter leur lecon,
DWQ2MGGM,Tizi Ouzou,"Conseil, Expertise et formation",cabinet  étude conseil et assistance en investissement,"accompagnement à la création des entreprises:_x000D_
etudes technico economique_x000D_
études de faisabilité_x000D_
réalisation business model et business plan....",cabinet etude conseil assistance investissement,accompagnement avoir creation entreprises_xd _ etude technico economique_xd _ etude faisabilite_xd _ realisation business model business plan,
BSNH6KHP,Ouargla,"Conseil, Expertise et formation",Master en Coaching Personnel et Programmation Neurolinguistique PNL,Ce Master en Coaching Personnel et Programmation Neurolinguistique PNL met à votre disposition les compétences professionnelles nécessaires pour développer votre carrière et améliorer votre employabilité.,master coaching personnel programmation neurolinguistique pnl,master coaching personnel programmation neurolinguistique pnl mettre avoir disposition competence professionnel necessaire developper carrier ameliorer employabilite,
95RAXHGE,Algiers,Services aux entreprises,Tecnicine en Tourisme,Vendre les produits touristique qu société,tecnicine tourisme,vendr produit touristique societe,
8H84B3AZ,Tizi Ouzou,Prestations à domicile,service traiteur  cuisinier  a domicile .,service traiteur a domicile a pour but d'organiser des buffet pour evenement pour fete ; anniverssaire ;comite d'entreprise ;ecole ;en plus du service de traiteur ;cuisinier patissier ou boulanger evenementiel a domicile pour de groupes de  personnes .,service traiteur cuisinier avoir domicil,service traiteur avoir domicile avoir boire dorganiser buffet evenement fete anniverssair comite dentreprise ecol plus service traiteur cuisinier patissier boulanger evenementiel avoir domicil groupe personne,
